shape_path,final_x,final_y,rt,stimulus_onset_ttl,stimulus_offset_ttl,click_ttl,all_click_ttl,submit_ttl
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,0.520921,-0.172594,1.4380,,,1777661775.932037115,1777661775.932037115,1777661777.572715044
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,0.440377,0.462343,0.4156,,,1777661779.239000082,1777661779.239000082,1777661779.529469967
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,-0.725941,0.152720,0.4446,,,1777661781.266789913,1777661781.266789913,1777661781.554841042
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,-0.480126,0.241632,0.3233,,,1777661783.213630915,1777661783.213630915,1777661783.545104980
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,-0.230126,-0.172594,0.3691,,,1777661785.906105995,1777661785.906105995,1777661786.200782061
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,0.085774,0.130753,0.4103,,,1777661787.970678091,1777661787.970678091,1777661788.257787943
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,0.142259,-0.144351,0.3453,,,1777661789.969102144,1777661789.969102144,1777661790.275685787
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,0.523013,0.148536,0.6101,,,1777661792.304394007,1777661792.304394007,1777661792.563380957
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,-0.646444,-0.292887,0.4299,,,1777661794.666098833,1777661794.666098833,1777661795.097933054
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,-0.081590,0.316946,0.5813,,,1777661797.086439848,1777661797.086439848,1777661797.288841009
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,0.587866,-0.325314,0.4349,,,1777661799.274878025,1777661799.274878025,1777661799.568432808
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,-0.407950,0.427824,0.1077,,,1777661801.296705961,1777661801.296705961,1777661801.657608032
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,-0.183054,0.063808,0.4375,,,1777661803.971837997,1777661803.971837997,1777661804.237867117
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,0.001046,-0.290795,0.3569,,,1777661806.240143776,1777661806.240143776,1777661806.691159964
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,0.397490,-0.309623,0.7002,,,1777661809.047618151,1777661809.047618151,1777661809.294927835
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,-0.517782,-0.065900,0.3622,,,1777661811.306946039,1777661811.306946039,1777661811.600692034
