shape_path,final_x,final_y,rt,stimulus_onset_ttl,stimulus_offset_ttl,click_ttl,all_click_ttl,submit_ttl
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_0.png,0.482218,0.174686,1.0813,,,1774044004.958268881,1774044004.958268881,1774044005.431888819
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_2.png,-0.463389,0.199791,0.4702,,,1774044007.047587156,1774044007.047587156,1774044007.363175869
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_3.png,-0.463389,0.104603,0.4539,,,1774044008.960657835,1774044008.960657835,1774044009.278316975
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_1.png,0.390167,0.304393,0.3970,,,1774044010.830951929,1774044010.830951929,1774044011.143610001
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_0.png,-0.319038,-0.267782,0.5149,,,1774044012.931493044,1774044012.931493044,1774044013.228322983
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_1.png,-0.257322,-0.270921,0.5847,,,1774044015.010432959,1774044015.010432959,1774044015.278290987
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_3.png,-0.327406,0.190377,1.2659,,,1774044017.760416031,1774044017.760416031,1774044018.095031023
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_0.png,-0.375523,0.070084,0.4409,,,1774044019.760346889,1774044019.760346889,1774044020.166229010
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_2.png,-0.453975,0.039749,0.5206,,,1774044022.127494812,1774044022.127494812,1774044022.412859917
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_1.png,-0.270921,0.091004,0.7309,,,1774044024.394418001,1774044024.394418001,1774044024.644652128
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_0.png,-0.384937,0.299163,0.3846,,,1774044026.333509922,1774044026.333509922,1774044026.610174894
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_2.png,-0.234310,0.246862,0.3609,,,1774044028.355839968,1774044028.355839968,1774044028.613578081
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_2.png,0.495816,0.274059,0.6234,,,1774044030.901925087,1774044030.901925087,1774044031.432728052
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_3.png,-0.184100,0.186192,0.5740,,,1774044033.403152943,1774044033.403152943,1774044033.689359188
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_3.png,-0.239540,-0.193515,1.1640,,,1774044036.319171190,1774044036.319171190,1774044036.616290092
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_1.png,-0.176778,0.103556,0.4836,,,1774044038.471061945,1774044038.471061945,1774044038.763353109
