shape_path,final_x,final_y,rt,stimulus_onset_ttl,stimulus_offset_ttl,click_ttl,all_click_ttl,submit_ttl
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_3.png,0.232218,-0.233264,4.5509,,,1774375280.470620871,1774375280.470620871,1774375280.767689943
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_0.png,0.188285,0.107741,1.2368,,,1774375283.221308947,1774375283.221308947,1774375283.510737896
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_1.png,-0.208159,0.217573,0.3878,,,1774375285.155933857,1774375285.155933857,1774375285.429609060
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_2.png,-0.476987,0.026151,0.1372,,,1774375286.875312805,1774375286.875312805,1774375287.185214996
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_1.png,-0.417364,-0.069038,0.6184,,,1774375289.341065884,1774375289.341065884,1774375289.579118013
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_2.png,-0.448745,0.126569,0.3070,,,1774375291.224710941,1774375291.224710941,1774375291.444577932
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_3.png,-0.151674,-0.028243,0.4129,,,1774375293.172842979,1774375293.172842979,1774375293.416700840
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_0.png,-0.093096,0.316946,0.1598,,,1774375294.902991056,1774375294.902991056,1774375295.215090036
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_2.png,0.114017,0.317992,0.3616,,,1774375296.869659901,1774375296.869659901,1774375297.054847002
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_2.png,-0.093096,0.207113,0.9773,,,1774375299.269750118,1774375298.737823009;1774375299.269750118,1774375299.653457880
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_0.png,0.315900,0.109833,0.5010,,,1774375301.419750929,1774375301.419750929,1774375301.686579943
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_1.png,0.328452,0.177824,0.3202,,,1774375303.253392935,1774375303.253392935,1774375303.498811960
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_0.png,0.141213,0.286611,0.3124,,,1774375305.186476946,1774375305.186476946,1774375305.502911091
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_3.png,-0.032427,0.221757,0.3285,,,1774375307.138839006,1774375307.138839006,1774375307.465499878
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_3.png,0.012552,0.096234,0.4460,,,1774375309.219907045,1774375309.219907045,1774375309.437931061
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_1.png,0.055439,0.158996,0.5301,,,1774375311.270913124,1774375311.270913124,1774375311.530746222
