trial,shape_path,context_1_path,context_2_path,trial_variant,response,rt,fixation_onset_ttl,context1_onset_ttl,shape_onset_ttl,reddot_onset_ttl,context2_onset_ttl,shape2_onset_ttl,reddot2_onset_ttl,question_onset_ttl,response_ttl
1,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/ball_slope.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/mountain1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield1.png,secondary_first_img1,SPORTSFIELD,1.5362,1777483241.360162020,1777483242.276062012,1777483243.282170773,1777483244.299339056,1777483246.318120956,1777483247.349958897,1777483248.358520031,1777483250.406555891,1777483251.943487883
2,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/toothbrush.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/bathroom.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/garden.png,primary_first_img0,BATHROOM,2.1016,1777483252.448673964,1777483253.321373940,1777483254.328000069,1777483255.349395990,1777483257.368798971,1777483258.420675993,1777483259.431030989,1777483261.467863083,1777483263.570003033
3,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/basketball.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield1.png,secondary_first_img1,SPORTSFIELD,0.4556,1777483264.075280905,1777483264.813755989,1777483265.828438997,1777483266.839734077,1777483268.848948002,1777483269.881866932,1777483270.904412985,1777483272.949731112,1777483273.408906937
4,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/nail_cutters.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/office1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/bathroom1.png,secondary_first_img1,BATHROOM,1.6165,1777483273.915544987,1777483274.765552998,1777483275.770974874,1777483276.778805017,1777483278.790838957,1777483279.827427149,1777483280.836920977,1777483282.869233847,1777483284.486362934
5,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/bird'sfoot.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/petshop1.png,secondary_first_img1,KITCHEN,1.0491,1777483284.992506981,1777483285.740059853,1777483286.745492935,1777483287.753019810,1777483289.775012016,1777483290.804486990,1777483291.813605785,1777483293.845908880,1777483294.895461798
6,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/tape.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/office1.png,secondary_first_img1,OFFICE,0.4338,1777483295.403326988,1777483296.032421112,1777483297.045120955,1777483298.055171013,1777483300.068119049,1777483301.111690998,1777483302.123594999,1777483304.165973902,1777483304.600249052
7,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/umbrella.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sky1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen1.png,primary_first_img1,KITCHEN,1.3227,1777483305.106379986,1777483305.829646111,1777483306.836117983,1777483307.845605850,1777483309.853270054,1777483310.889446974,1777483311.900924921,1777483313.947385073,1777483315.270708084
8,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/tunnelentrance.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/garden1.png,secondary_first_img1,SPORTSFIELD,1.3942,1777483315.782562017,1777483316.557413101,1777483317.563214064,1777483318.575305939,1777483320.592463017,1777483321.631162882,1777483322.639127970,1777483324.672805071,1777483326.067855835
9,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/toiletpaper.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/bathroom1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/office1.png,primary_first_img1,OFFICE,1.1380,1777483326.573229074,1777483327.206151009,1777483328.209933043,1777483329.219605923,1777483331.230724096,1777483332.259812117,1777483333.269798994,1777483335.299037933,1777483336.437736988
10,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/bikewheel.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield1.png,secondary_first_img1,SPORTSFIELD,1.3411,1777483336.947033167,1777483337.610614061,1777483338.616662979,1777483339.627036810,1777483341.635968924,1777483342.667556047,1777483343.678057909,1777483345.713071108,1777483347.054759026
