trial,shape_path,context_1_path,context_2_path,trial_variant,response,rt,fixation_onset_ttl,context1_onset_ttl,shape_onset_ttl,object_question_onset_ttl,context2_onset_ttl,shape2_onset_ttl,object_question2_onset_ttl,question_onset_ttl,response_ttl
1,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/mountain1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,secondary_first_img1,SPORTSFIELD,0.6578,1777774237.295386791,1777774238.254649162,1777774239.261229038,1777774240.272104979,1777774242.302350998,1777774243.336624146,1777774244.348715067,1777774246.401262999,1777774247.112061977
2,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,primary_first_img0,GARDEN,2.0578,1777774247.617224932,1777774248.481157780,1777774249.487938166,1777774250.499048948,1777774252.517788887,1777774253.552496910,1777774254.559397936,1777774256.599096060,1777774258.686548948
3,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,secondary_first_img1,KITCHEN,0.6131,1777774259.199282885,1777774259.951781988,1777774260.956855059,1777774261.990695000,1777774264.012490034,1777774265.052749157,1777774266.069421053,1777774268.110874176,1777774268.757225037
4,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,secondary_first_img1,OFFICE,0.8237,1777774269.264147043,1777774270.107022047,1777774271.111879826,1777774272.118458033,1777774274.130096912,1777774275.175464869,1777774276.185496092,1777774278.222229958,1777774279.057632923
5,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop1.png,secondary_first_img1,KITCHEN,0.8328,1777774279.564310074,1777774280.308415890,1777774281.316210985,1777774282.323215008,1777774284.332083941,1777774285.382511139,1777774286.390936136,1777774288.424681902,1777774289.280708075
6,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,secondary_first_img1,OFFICE,2.2082,1777774289.787151814,1777774290.415467978,1777774291.420387983,1777774292.488048077,1777774294.503267050,1777774295.548782110,1777774296.560045004,1777774298.607793808,1777774300.838114023
7,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,primary_first_img1,KITCHEN,5.0424,1777774301.344784975,1777774302.069399118,1777774303.075041056,1777774304.082697868,1777774306.109687090,1777774307.150382996,1777774308.157373905,1777774310.215876102,1777774315.277707100
8,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,secondary_first_img1,SPORTSFIELD,4.6187,1777774315.784666061,1777774316.539573908,1777774317.549646139,1777774318.557884932,1777774320.569396973,1777774321.599808931,1777774322.612560987,1777774324.638901949,1777774329.277448893
9,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,primary_first_img1,BATHROOM,1.4556,1777774329.790543795,1777774330.433747053,1777774331.438900948,1777774332.448489904,1777774334.462000847,1777774335.499242067,1777774336.509623051,1777774338.540510893,1777774340.020948887
10,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,secondary_first_img1,KITCHEN,0.9278,1777774340.529616833,1777774341.251922846,1777774342.258398056,1777774343.268599987,1777774345.274724007,1777774346.288929939,1777774347.295933962,1777774349.325686932,1777774350.272621155
