trial,shape_path,context_1_path,context_2_path,trial_variant,response,rt,fixation_onset_ttl,context1_onset_ttl,shape_onset_ttl,reddot_onset_ttl,context2_onset_ttl,shape2_onset_ttl,reddot2_onset_ttl,question_onset_ttl,response_ttl
1,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_2.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/tree1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/bedroom1.png,original,BEDROOM,1.3444,,,,,,,,,1774045161.579843998
2,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_3.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/pond1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/bookstore_1.png,original,BOOKSTORE,0.4884,,,,,,,,,1774045175.335184813
3,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_0.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/wall_2.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/sky2.png,control_context_swapped,SKY,0.5444,,,,,,,,,1774045189.113989115
4,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_0.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/sky1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/cinema_1.png,original,CINEMA,0.5320,,,,,,,,,1774045202.918261051
5,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_2.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/wall_1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/pond1.png,context_swapped,POND,3.1205,,,,,,,,,1774045219.307623863
6,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/bookstore_1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/carrot_1.png,context_swapped,CARROT,1.2819,,,,,,,,,1774045233.843778133
7,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/sky2.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/bedroom2.png,control_context,BEDROOM,1.0896,,,,,,,,,1774045248.189235926
8,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_3.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/pond2.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/cinema_2.png,control_context,CINEMA,1.1771,,,,,,,,,1774045262.579916000
9,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_3.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/tree2.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/wall_2.png,control_context,WALL,0.8383,,,,,,,,,1774045276.682729006
10,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_3.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/wall_1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/tree1.png,context_swapped,TREE,1.6204,,,,,,,,,1774045291.536389112
11,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/bedroom1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/sky1.png,context_swapped,SKY,1.1325,,,,,,,,,1774045305.924997807
12,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_0.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/carrot_1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/cinema_1.png,original,CINEMA,1.3350,,,,,,,,,1774045320.495182037
13,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_3.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/cinema_1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/pond1.png,context_swapped,POND,0.8216,,,,,,,,,1774045341.548686028
14,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_0.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/sky2.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/cinema_2.png,control_context,CINEMA,0.8836,,,,,,,,,1774045355.686290026
15,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_2.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/pond1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/wall_1.png,original,WALL,4.1088,,,,,,,,,1774045373.023623943
16,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_0.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/wall_1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/sky1.png,context_swapped,SKY,0.6352,,,,,,,,,1774045386.929075003
17,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_2.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/pond1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Context_Images/bookstore_1.png,original,BOOKSTORE,0.7396,,,,,,,,,1774045400.926441908
