trial,shape_path,context_1_path,context_2_path,trial_variant,response,rt,fixation_onset_ttl,context1_onset_ttl,shape_onset_ttl,reddot_onset_ttl,context2_onset_ttl,shape2_onset_ttl,reddot2_onset_ttl,question_onset_ttl,response_ttl
1,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/mountain1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,secondary_first_img1,SPORTSFIELD,1.1409,1777604421.380424023,1777604422.330949068,1777604423.336111069,1777604424.350914955,1777604426.369421005,1777604427.392221928,1777604428.398772955,1777604430.469978094,1777604431.647407055
2,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,primary_first_img0,BATHROOM,2.6625,1777604432.152879000,1777604433.027858973,1777604434.043599844,1777604435.054135084,1777604437.061720133,1777604438.074149847,1777604439.080565929,1777604441.110198975,1777604443.780478001
3,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,secondary_first_img1,KITCHEN,1.8429,1777604444.287203074,1777604445.005681992,1777604446.010310888,1777604447.030371189,1777604449.043378830,1777604450.056679964,1777604451.063727140,1777604453.093760014,1777604454.947807074
4,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,secondary_first_img1,OFFICE,2.1309,1777604455.455091953,1777604456.293726921,1777604457.299551010,1777604458.309878111,1777604460.319065094,1777604461.332038879,1777604462.341280937,1777604464.367287159,1777604466.508111954
5,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop1.png,secondary_first_img1,PETSHOP,0.9342,1777604467.014962912,1777604467.757135153,1777604468.764860868,1777604469.775055885,1777604471.788177967,1777604472.815968990,1777604473.829133034,1777604475.874710083,1777604476.830695868
6,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,secondary_first_img1,OFFICE,1.8298,1777604477.337836981,1777604477.997596979,1777604479.003463984,1777604480.015725136,1777604482.025593042,1777604483.044506788,1777604484.052788973,1777604486.076656103,1777604487.915941954
7,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,primary_first_img1,KITCHEN,0.9961,1777604488.422064781,1777604489.131731987,1777604490.136783838,1777604491.149458885,1777604493.162739038,1777604494.195387840,1777604495.200933218,1777604497.238768101,1777604498.249001026
8,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,secondary_first_img1,GARDEN,1.2839,1777604498.756597996,1777604499.542555809,1777604500.548627853,1777604501.557968855,1777604503.570625067,1777604504.588417053,1777604505.597578049,1777604507.638244152,1777604508.930402040
9,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,primary_first_img1,BATHROOM,1.0478,1777604509.437299013,1777604510.058426142,1777604511.062964916,1777604512.072079182,1777604514.082231998,1777604515.093580961,1777604516.099693060,1777604518.125965118,1777604519.180553913
10,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,secondary_first_img1,KITCHEN,1.0264,1777604519.687288046,1777604520.289901018,1777604521.295452833,1777604522.304690838,1777604524.314073086,1777604525.326979160,1777604526.335500956,1777604528.362405062,1777604529.396815777
11,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky1.png,primary_first_img1,GARDEN,1.0147,1777604529.903590918,1777604530.502927065,1777604531.507714987,1777604532.515301228,1777604534.527450085,1777604535.557315111,1777604536.569434166,1777604538.688596964,1777604539.715959072
12,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,primary_first_img0,KITCHEN,1.0587,1777604540.223829985,1777604541.075315952,1777604542.081100941,1777604543.090121031,1777604545.136881828,1777604546.146486998,1777604547.153563976,1777604549.182636023,1777604550.252448082
13,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,secondary_first_img0,GARDEN,1.0689,1777604550.760128975,1777604551.495471001,1777604552.501290083,1777604553.511039972,1777604555.519607067,1777604556.560274839,1777604557.566051006,1777604559.604413033,1777604560.701143026
14,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop.png,secondary_first_img0,SPORTSFIELD,2.2604,1777604561.207979918,1777604561.941541910,1777604562.946681023,1777604563.957761049,1777604565.968828917,1777604567.000830889,1777604568.011188030,1777604570.071360111,1777604572.337733984
15,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,primary_first_img0,KITCHEN,0.9439,1777604572.845278978,1777604573.475102901,1777604574.479593039,1777604575.491346836,1777604577.503345966,1777604578.521160841,1777604579.531573057,1777604581.563268185,1777604582.522272110
