timestamp,trigger_code,event_label,trial_info
1777483077.554857016,participant_name_onset,participant_name_onset,
1777483083.780184984,participant_name_offset,participant_name_offset,
1777483083.788505077,experiment_start,experiment_start,participant=chickenfoot
1777483083.843087196,welcome_onset,welcome_onset,
1777483086.285483122,welcome_enter,welcome_enter,
1777483086.286235809,welcome_offset,welcome_offset,
1777483086.394937038,tutorial_fallback_onset,tutorial_fallback_onset,step=1
1777483090.454787016,tutorial_fallback_offset,tutorial_fallback_offset,step=1
1777483090.455981970,tutorial_fallback_onset,tutorial_fallback_onset,step=2
1777483090.476063967,tutorial_fallback_step2_center_onset,tutorial_fallback_step2_center_onset,
1777483093.017471075,tutorial_fallback_step2_center_offset,tutorial_fallback_step2_center_offset,
1777483093.018203974,tutorial_fallback_step2_target_onset,tutorial_fallback_step2_target_onset,
1777483096.556496859,tutorial_fallback_step2_target_offset,tutorial_fallback_step2_target_offset,
1777483096.562362194,tutorial_fallback_offset,tutorial_fallback_offset,step=2
1777483096.562448978,tutorial_fallback_onset,tutorial_fallback_onset,step=3
1777483096.581841946,tutorial_fallback_step3_center_onset,tutorial_fallback_step3_center_onset,
1777483099.120675087,tutorial_fallback_step3_center_offset,tutorial_fallback_step3_center_offset,
1777483099.123996973,tutorial_fallback_step3_target_onset,tutorial_fallback_step3_target_onset,
1777483102.709019899,tutorial_fallback_step3_target_offset,tutorial_fallback_step3_target_offset,
1777483102.718918800,tutorial_fallback_offset,tutorial_fallback_offset,step=3
1777483102.719060898,tutorial_fallback_onset,tutorial_fallback_onset,step=4
1777483102.754792929,tutorial_fallback_step4_center_onset,tutorial_fallback_step4_center_onset,
1777483105.305127859,tutorial_fallback_step4_center_offset,tutorial_fallback_step4_center_offset,
1777483105.306167126,tutorial_fallback_step4_target_onset,tutorial_fallback_step4_target_onset,
1777483108.864090204,tutorial_fallback_step4_target_offset,tutorial_fallback_step4_target_offset,
1777483108.867475033,tutorial_fallback_offset,tutorial_fallback_offset,step=4
1777483108.867614031,tutorial_fallback_onset,tutorial_fallback_onset,step=5a
1777483113.574115038,tutorial_fallback_offset,tutorial_fallback_offset,step=5a
