timestamp,trigger_code,event_label,trial_info
1774375214.108310938,participant_name_onset,participant_name_onset,
1774375217.219721079,participant_name_offset,participant_name_offset,
1774375217.220993042,experiment_start,experiment_start,participant=kini
1774375217.279189110,welcome_onset,welcome_onset,
1774375219.378320932,welcome_enter,welcome_enter,
1774375219.379459143,welcome_offset,welcome_offset,
1774375219.501255989,tutorial_fallback_onset,tutorial_fallback_onset,step=1
1774375222.060819864,tutorial_fallback_offset,tutorial_fallback_offset,step=1
1774375222.064213037,tutorial_fallback_onset,tutorial_fallback_onset,step=2
1774375222.096545935,tutorial_fallback_step2_center_onset,tutorial_fallback_step2_center_onset,
1774375223.124178886,tutorial_fallback_step2_center_offset,tutorial_fallback_step2_center_offset,
1774375223.125163078,tutorial_fallback_step2_target_onset,tutorial_fallback_step2_target_onset,
1774375225.134994984,tutorial_fallback_step2_target_offset,tutorial_fallback_step2_target_offset,
1774375225.141382933,tutorial_fallback_offset,tutorial_fallback_offset,step=2
1774375225.141668081,tutorial_fallback_onset,tutorial_fallback_onset,step=3
1774375225.162934065,tutorial_fallback_step3_center_onset,tutorial_fallback_step3_center_onset,
1774375226.189773083,tutorial_fallback_step3_center_offset,tutorial_fallback_step3_center_offset,
1774375226.190135956,tutorial_fallback_step3_target_onset,tutorial_fallback_step3_target_onset,
1774375228.200129032,tutorial_fallback_step3_target_offset,tutorial_fallback_step3_target_offset,
1774375228.202722073,tutorial_fallback_offset,tutorial_fallback_offset,step=3
1774375228.202826023,tutorial_fallback_onset,tutorial_fallback_onset,step=4
1774375228.215420961,tutorial_fallback_step4_center_onset,tutorial_fallback_step4_center_onset,
1774375229.251120090,tutorial_fallback_step4_center_offset,tutorial_fallback_step4_center_offset,
1774375229.251254082,tutorial_fallback_step4_target_onset,tutorial_fallback_step4_target_onset,
1774375231.261262178,tutorial_fallback_step4_target_offset,tutorial_fallback_step4_target_offset,
1774375231.263648033,tutorial_fallback_offset,tutorial_fallback_offset,step=4
1774375231.263746977,tutorial_fallback_onset,tutorial_fallback_onset,step=5a
1774375234.360476017,tutorial_fallback_offset,tutorial_fallback_offset,step=5a
1774375234.361174107,tutorial_fallback_onset,tutorial_fallback_onset,step=5b
1774375238.413894892,tutorial_fallback_offset,tutorial_fallback_offset,step=5b
1774375238.415181160,tutorial_fallback_onset,tutorial_fallback_onset,step=6
1774375245.497749090,tutorial_fallback_offset,tutorial_fallback_offset,step=6
1774375245.537481070,tutorial_transition_onset,tutorial_transition_onset,
1774375249.163875103,tutorial_transition_enter,tutorial_transition_enter,
1774375249.163992167,tutorial_transition_offset,tutorial_transition_offset,
1774375249.203954935,phase1_questions_onset,phase1_questions_onset,
1774375250.737882853,phase1_questions_enter,phase1_questions_enter,
1774375250.737996101,phase1_questions_offset,phase1_questions_offset,
1774375250.782732010,phase1_instr1_onset,phase1_instr1_onset,
1774375253.046971798,phase1_instr1_enter,phase1_instr1_enter,
1774375253.047929049,phase1_instr1_offset,phase1_instr1_offset,
1774375253.100250006,phase1_instr2_onset,phase1_instr2_onset,
