timestamp,trigger_code,event_label,trial_info
1777604175.015162230,participant_name_onset,participant_name_onset,
1777604185.362200975,participant_name_offset,participant_name_offset,
1777604185.373382807,experiment_start,experiment_start,participant=queenisa
1777604185.421771049,welcome_onset,welcome_onset,
1777604191.114836931,welcome_enter,welcome_enter,
1777604191.115481138,welcome_offset,welcome_offset,
1777604191.206083059,tutorial_fallback_onset,tutorial_fallback_onset,step=1
1777604195.311152220,tutorial_fallback_offset,tutorial_fallback_offset,step=1
1777604195.313291073,tutorial_fallback_onset,tutorial_fallback_onset,step=2
1777604195.379432917,tutorial_fallback_step2_center_onset,tutorial_fallback_step2_center_onset,
1777604197.906063080,tutorial_fallback_step2_center_offset,tutorial_fallback_step2_center_offset,
1777604197.907829046,tutorial_fallback_step2_target_onset,tutorial_fallback_step2_target_onset,
1777604201.552294970,tutorial_fallback_step2_target_offset,tutorial_fallback_step2_target_offset,
1777604201.556391954,tutorial_fallback_offset,tutorial_fallback_offset,step=2
1777604201.556492090,tutorial_fallback_onset,tutorial_fallback_onset,step=3
1777604201.601644993,tutorial_fallback_step3_preflash_onset,tutorial_fallback_step3_preflash_onset,
1777604202.083175898,tutorial_fallback_step3_preflash_offset,tutorial_fallback_step3_preflash_offset,
1777604202.083355904,tutorial_fallback_step3_center_onset,tutorial_fallback_step3_center_onset,
1777604204.589010000,tutorial_fallback_step3_center_offset,tutorial_fallback_step3_center_offset,
1777604204.589656115,tutorial_fallback_step3_target_onset,tutorial_fallback_step3_target_onset,
1777604208.262757778,tutorial_fallback_step3_target_offset,tutorial_fallback_step3_target_offset,
1777604208.270737886,tutorial_fallback_offset,tutorial_fallback_offset,step=3
1777604208.271031141,tutorial_fallback_onset,tutorial_fallback_onset,step=4
1777604208.332337856,tutorial_fallback_step4_preflash_onset,tutorial_fallback_step4_preflash_onset,
1777604208.814629078,tutorial_fallback_step4_preflash_offset,tutorial_fallback_step4_preflash_offset,
1777604208.814948082,tutorial_fallback_step4_center_onset,tutorial_fallback_step4_center_onset,
1777604211.328356028,tutorial_fallback_step4_center_offset,tutorial_fallback_step4_center_offset,
1777604211.329051971,tutorial_fallback_step4_target_onset,tutorial_fallback_step4_target_onset,
1777604214.984788895,tutorial_fallback_step4_target_offset,tutorial_fallback_step4_target_offset,
1777604214.987478018,tutorial_fallback_offset,tutorial_fallback_offset,step=4
1777604214.987613916,tutorial_fallback_onset,tutorial_fallback_onset,step=5a
1777604219.664969921,tutorial_fallback_offset,tutorial_fallback_offset,step=5a
1777604219.666601896,tutorial_fallback_onset,tutorial_fallback_onset,step=5b
1777604225.232587099,tutorial_fallback_offset,tutorial_fallback_offset,step=5b
1777604225.234066963,tutorial_fallback_onset,tutorial_fallback_onset,step=6
1777604233.782377958,tutorial_fallback_offset,tutorial_fallback_offset,step=6
1777604233.834364891,tutorial_transition_onset,tutorial_transition_onset,
1777604236.775205135,tutorial_transition_enter,tutorial_transition_enter,
1777604236.777309895,tutorial_transition_offset,tutorial_transition_offset,
1777604236.835245132,phase1_questions_onset,phase1_questions_onset,
1777604239.447095156,phase1_questions_enter,phase1_questions_enter,
1777604239.447510958,phase1_questions_offset,phase1_questions_offset,
1777604239.494946957,phase1_before_grid_onset,phase1_before_grid_onset,
1777604244.030313015,phase1_before_grid_enter,phase1_before_grid_enter,
1777604244.030498028,phase1_before_grid_offset,phase1_before_grid_offset,
1777604244.245878935,phase1_grid_onset,phase1_grid_onset,
1777604249.261507988,phase1_grid_offset,phase1_grid_offset,
1777604249.306915998,phase1_fixation_onset,phase1_fixation_onset,
1777604250.330132961,phase1_fixation_offset,phase1_fixation_offset,
1777604250.385750055,phase1_instr1_onset,phase1_instr1_onset,
1777604252.038757086,phase1_instr1_enter,phase1_instr1_enter,
1777604252.040015936,phase1_instr1_offset,phase1_instr1_offset,
1777604252.104119062,phase1_instr2_onset,phase1_instr2_onset,
1777604253.568587065,phase1_instr2_enter,phase1_instr2_enter,
1777604253.569850206,phase1_instr2_offset,phase1_instr2_offset,
1777604253.661087990,phase1_instr3_onset,phase1_instr3_onset,
1777604254.954384804,phase1_instr3_enter,phase1_instr3_enter,
1777604254.954962015,phase1_instr3_offset,phase1_instr3_offset,
1777604255.031220913,phase1_stimulus_onset,phase1_stimulus_onset,trial=1 shape=bug.bmp
1777604256.037379980,phase1_stimulus_offset,phase1_stimulus_offset,trial=1 shape=bug.bmp
1777604258.977209091,phase1_click_place,phase1_click_place,trial=1 shape=bug.bmp click=1
1777604262.183324814,phase1_enter_submit,phase1_enter_submit,trial=1 shape=bug.bmp
1777604262.278256893,phase1_placements_saved,phase1_placements_saved,phase1_placements_queenisa_20260430_225615.png trial=1
1777604262.289186001,phase1_stimulus_onset,phase1_stimulus_onset,trial=2 shape=bird'sfoot.bmp
1777604263.293115854,phase1_stimulus_offset,phase1_stimulus_offset,trial=2 shape=bird'sfoot.bmp
1777604267.740221977,phase1_click_place,phase1_click_place,trial=2 shape=bird'sfoot.bmp click=1
1777604269.389624119,phase1_enter_submit,phase1_enter_submit,trial=2 shape=bird'sfoot.bmp
1777604269.542277098,phase1_placements_saved,phase1_placements_saved,phase1_placements_queenisa_20260430_225615.png trial=2
1777604269.557809830,phase1_stimulus_onset,phase1_stimulus_onset,trial=3 shape=ball_slope.bmp
1777604270.563051939,phase1_stimulus_offset,phase1_stimulus_offset,trial=3 shape=ball_slope.bmp
1777604272.523836851,phase1_click_place,phase1_click_place,trial=3 shape=ball_slope.bmp click=1
1777604273.232512951,phase1_enter_submit,phase1_enter_submit,trial=3 shape=ball_slope.bmp
1777604273.342608929,phase1_placements_saved,phase1_placements_saved,phase1_placements_queenisa_20260430_225615.png trial=3
1777604273.353946924,phase1_stimulus_onset,phase1_stimulus_onset,trial=4 shape=tunnelentrance.bmp
1777604274.358261108,phase1_stimulus_offset,phase1_stimulus_offset,trial=4 shape=tunnelentrance.bmp
1777604277.438928843,phase1_click_place,phase1_click_place,trial=4 shape=tunnelentrance.bmp click=1
1777604278.334076881,phase1_enter_submit,phase1_enter_submit,trial=4 shape=tunnelentrance.bmp
1777604279.132993937,phase1_placements_saved,phase1_placements_saved,phase1_placements_queenisa_20260430_225615.png trial=4
1777604279.143267155,phase1_stimulus_onset,phase1_stimulus_onset,trial=5 shape=toiletpaper.bmp
1777604280.150162935,phase1_stimulus_offset,phase1_stimulus_offset,trial=5 shape=toiletpaper.bmp
1777604282.990375996,phase1_click_place,phase1_click_place,trial=5 shape=toiletpaper.bmp click=1
1777604283.616322041,phase1_enter_submit,phase1_enter_submit,trial=5 shape=toiletpaper.bmp
1777604283.821033955,phase1_placements_saved,phase1_placements_saved,phase1_placements_queenisa_20260430_225615.png trial=5
1777604283.844689846,phase1_stimulus_onset,phase1_stimulus_onset,trial=6 shape=umbrella.bmp
1777604284.850604057,phase1_stimulus_offset,phase1_stimulus_offset,trial=6 shape=umbrella.bmp
1777604288.807727098,phase1_click_place,phase1_click_place,trial=6 shape=umbrella.bmp click=1
1777604289.573760986,phase1_enter_submit,phase1_enter_submit,trial=6 shape=umbrella.bmp
1777604289.805680037,phase1_placements_saved,phase1_placements_saved,phase1_placements_queenisa_20260430_225615.png trial=6
1777604289.818738937,phase1_stimulus_onset,phase1_stimulus_onset,trial=7 shape=basketball.bmp
1777604290.824012995,phase1_stimulus_offset,phase1_stimulus_offset,trial=7 shape=basketball.bmp
1777604292.026793003,phase1_click_place,phase1_click_place,trial=7 shape=basketball.bmp click=1
1777604292.867141962,phase1_enter_submit,phase1_enter_submit,trial=7 shape=basketball.bmp
1777604293.133050919,phase1_placements_saved,phase1_placements_saved,phase1_placements_queenisa_20260430_225615.png trial=7
1777604293.158261061,phase1_stimulus_onset,phase1_stimulus_onset,trial=8 shape=birdcage.bmp
1777604294.166635036,phase1_stimulus_offset,phase1_stimulus_offset,trial=8 shape=birdcage.bmp
1777604295.592488050,phase1_click_place,phase1_click_place,trial=8 shape=birdcage.bmp click=1
1777604296.377584219,phase1_enter_submit,phase1_enter_submit,trial=8 shape=birdcage.bmp
1777604296.894440889,phase1_placements_saved,phase1_placements_saved,phase1_placements_queenisa_20260430_225615.png trial=8
1777604296.912986994,phase1_stimulus_onset,phase1_stimulus_onset,trial=9 shape=nail_cutters.bmp
1777604297.920649052,phase1_stimulus_offset,phase1_stimulus_offset,trial=9 shape=nail_cutters.bmp
1777604301.524241924,phase1_click_place,phase1_click_place,trial=9 shape=nail_cutters.bmp click=1
1777604302.207803965,phase1_enter_submit,phase1_enter_submit,trial=9 shape=nail_cutters.bmp
1777604302.519041061,phase1_placements_saved,phase1_placements_saved,phase1_placements_queenisa_20260430_225615.png trial=9
1777604302.560523987,phase1_stimulus_onset,phase1_stimulus_onset,trial=10 shape=mosquito.bmp
1777604303.573466778,phase1_stimulus_offset,phase1_stimulus_offset,trial=10 shape=mosquito.bmp
1777604306.488581181,phase1_click_place,phase1_click_place,trial=10 shape=mosquito.bmp click=1
1777604307.306011915,phase1_enter_submit,phase1_enter_submit,trial=10 shape=mosquito.bmp
1777604307.617936850,phase1_placements_saved,phase1_placements_saved,phase1_placements_queenisa_20260430_225615.png trial=10
1777604307.629611015,phase1_stimulus_onset,phase1_stimulus_onset,trial=11 shape=teacup.bmp
1777604308.641914129,phase1_stimulus_offset,phase1_stimulus_offset,trial=11 shape=teacup.bmp
1777604311.871210098,phase1_click_place,phase1_click_place,trial=11 shape=teacup.bmp click=1
1777604312.816879034,phase1_enter_submit,phase1_enter_submit,trial=11 shape=teacup.bmp
1777604313.141642094,phase1_placements_saved,phase1_placements_saved,phase1_placements_queenisa_20260430_225615.png trial=11
1777604313.159044027,phase1_stimulus_onset,phase1_stimulus_onset,trial=12 shape=pan.bmp
1777604314.165910959,phase1_stimulus_offset,phase1_stimulus_offset,trial=12 shape=pan.bmp
1777604319.979670048,phase1_click_place,phase1_click_place,trial=12 shape=pan.bmp click=1
1777604320.728658915,phase1_enter_submit,phase1_enter_submit,trial=12 shape=pan.bmp
1777604321.206308126,phase1_placements_saved,phase1_placements_saved,phase1_placements_queenisa_20260430_225615.png trial=12
1777604321.214963913,phase1_stimulus_onset,phase1_stimulus_onset,trial=13 shape=bikewheel.bmp
